image_id,label
7201,6
7202,4
7203,2
7204,5
7205,4
7206,4
7207,4
7208,5
7209,2
7210,4
7211,5
7212,2
7213,5
7214,2
7215,4
7216,6
7217,4
7218,3
7219,4
7220,2
7221,4
7222,2
7223,2
7224,2
7225,2
7226,4
7227,2
7228,4
7229,2
7230,4
7231,5
7232,2
7233,4
7234,5
7235,2
7236,4
7237,2
7238,2
7239,4
7240,4
7241,2
7242,3
7243,2
7244,5
7245,2
7246,2
7247,4
7248,5
7249,5
7250,4
7251,4
7252,5
7253,4
7254,2
7255,6
7256,3
7257,4
7258,6
7259,2
7260,3
7261,1
7262,2
7263,4
7264,4
7265,2
7266,2
7267,2
7268,5
7269,2
7270,3
7271,2
7272,2
7273,2
7274,5
7275,2
7276,4
7277,5
7278,2
7279,2
7280,2
7281,5
7282,5
7283,5
7284,5
7285,2
7286,5
7287,4
7288,5
7289,4
7290,4
7291,2
7292,4
7293,4
7294,2
7295,4
7296,4
7297,2
7298,2
7299,2
7300,2
7301,2
7302,5
7303,5
7304,4
7305,4
7306,2
7307,2
7308,4
7309,4
7310,2
7311,3
7312,5
7313,4
7314,5
7315,5
7316,2
7317,6
7318,2
7319,2
7320,5
7321,2
7322,2
7323,4
7324,4
7325,4
7326,2
7327,2
7328,5
7329,3
7330,2
7331,5
7332,4
7333,4
7334,2
7335,2
7336,2
7337,3
7338,5
7339,2
7340,4
7341,5
7342,2
7343,2
7344,5
7345,4
7346,2
7347,4
7348,5
7349,2
7350,2
7351,2
7352,4
7353,2
7354,2
7355,6
7356,2
7357,3
7358,5
7359,5
7360,4
7361,2
7362,2
7363,4
7364,2
7365,2
7366,5
7367,2
7368,4
7369,4
7370,2
7371,4
7372,4
7373,5
7374,6
7375,2
7376,4
7377,4
7378,4
7379,2
7380,2
7381,4
7382,4
7383,2
7384,4
7385,4
7386,5
7387,4
7388,5
7389,5
7390,3
7391,4
7392,5
7393,2
7394,4
7395,2
7396,4
7397,3
7398,2
7399,2
7400,4
7401,2
7402,4
7403,2
7404,4
7405,4
7406,4
7407,2
7408,2
7409,2
7410,2
7411,5
7412,5
7413,3
7414,5
7415,3
7416,6
7417,2
7418,4
7419,5
7420,3
7421,2
7422,5
7423,6
7424,2
7425,2
7426,4
7427,2
7428,2
7429,2
7430,2
7431,4
7432,5
7433,5
7434,4
7435,2
7436,2
7437,3
7438,4
7439,2
7440,4
7441,6
7442,3
7443,6
7444,4
7445,2
7446,5
7447,2
7448,4
7449,4
7450,4
7451,6
7452,2
7453,2
7454,6
7455,2
7456,6
7457,2
7458,3
7459,6
7460,4
7461,2
7462,2
7463,4
7464,5
7465,5
7466,2
7467,4
7468,2
7469,4
7470,5
7471,5
7472,2
7473,3
7474,3
7475,4
7476,4
7477,4
7478,4
7479,4
7480,4
7481,2
7482,5
7483,4
7484,2
7485,5
7486,2
7487,3
7488,4
7489,5
7490,2
7491,4
7492,3
7493,2
7494,4
7495,2
7496,2
7497,6
7498,4
7499,4
7500,2
7501,3
7502,4
7503,5
7504,5
7505,4
7506,4
7507,5
7508,4
7509,3
7510,4
7511,4
7512,5
7513,2
7514,4
7515,4
7516,2
7517,2
7518,4
7519,4
7520,3
7521,4
7522,3
7523,3
7524,5
7525,6
7526,5
7527,1
7528,4
7529,4
7530,2
7531,2
7532,4
7533,2
7534,4
7535,5
7536,2
7537,4
7538,5
7539,4
7540,6
7541,5
7542,4
7543,3
7544,2
7545,2
7546,5
7547,6
7548,3
7549,2
7550,2
7551,6
7552,5
7553,5
7554,4
7555,6
7556,2
7557,2
7558,3
7559,3
7560,2
7561,2
7562,5
7563,2
7564,2
7565,2
7566,2
7567,4
7568,2
7569,6
7570,2
7571,4
7572,4
7573,5
7574,2
7575,2
7576,4
7577,2
7578,4
7579,3
7580,2
7581,5
7582,2
7583,2
7584,5
7585,4
7586,5
7587,4
7588,2
7589,2
7590,4
7591,2
7592,2
7593,4
7594,5
7595,2
7596,3
7597,2
7598,4
7599,2
7600,2
7601,5
7602,6
7603,4
7604,1
7605,6
7606,5
7607,4
7608,3
7609,1
7610,2
7611,2
7612,2
7613,2
7614,2
7615,5
7616,4
7617,2
7618,4
7619,4
7620,5
7621,2
7622,5
7623,2
7624,5
7625,4
7626,4
7627,4
7628,6
7629,3
7630,2
7631,6
7632,4
7633,6
7634,2
7635,2
7636,2
7637,5
7638,6
7639,5
7640,5
7641,5
7642,2
7643,2
7644,5
7645,3
7646,4
7647,2
7648,2
7649,5
7650,4
7651,3
7652,4
7653,3
7654,2
7655,4
7656,5
7657,4
7658,6
7659,5
7660,2
7661,4
7662,6
7663,6
7664,2
7665,6
7666,2
7667,2
7668,2
7669,2
7670,2
7671,2
7672,2
7673,3
7674,5
7675,5
7676,4
7677,6
7678,2
7679,2
7680,4
7681,4
7682,4
7683,2
7684,2
7685,5
7686,2
7687,5
7688,4
7689,2
7690,2
7691,4
7692,4
7693,2
7694,5
7695,6
7696,6
7697,4
7698,2
7699,6
7700,2
7701,2
7702,4
7703,2
7704,2
7705,2
7706,2
7707,2
7708,4
7709,2
7710,2
7711,5
7712,4
7713,2
7714,5
7715,2
7716,4
7717,6
7718,2
7719,6
7720,4
7721,2
7722,2
7723,2
7724,4
7725,2
7726,2
7727,4
7728,2
7729,2
7730,2
7731,5
7732,3
7733,2
7734,2
7735,6
7736,5
7737,5
7738,2
7739,5
7740,5
7741,2
7742,5
7743,2
7744,5
7745,4
7746,6
7747,5
7748,3
7749,5
7750,3
7751,2
7752,2
7753,2
7754,2
7755,2
7756,5
7757,2
7758,2
7759,4
7760,2
7761,4
7762,2
7763,4
7764,2
7765,4
7766,4
7767,2
7768,4
7769,4
7770,2
7771,2
7772,2
7773,5
7774,2
7775,2
7776,2
7777,4
7778,4
7779,4
7780,4
7781,3
7782,4
7783,2
7784,5
7785,2
7786,2
7787,2
7788,6
7789,4
7790,2
7791,2
7792,2
7793,4
7794,4
7795,2
7796,4
7797,4
7798,5
7799,2
7800,2
7801,5
7802,4
7803,5
7804,3
7805,2
7806,5
7807,2
7808,5
7809,4
7810,3
7811,6
7812,2
7813,4
7814,2
7815,6
7816,2
7817,5
7818,2
7819,2
7820,2
7821,3
7822,4
7823,2
7824,5
7825,2
7826,4
7827,4
7828,2
7829,2
7830,4
7831,2
7832,4
7833,2
7834,2
7835,6
7836,2
7837,4
7838,6
7839,3
7840,6
7841,4
7842,2
7843,2
7844,6
7845,4
7846,2
7847,2
7848,2
7849,5
7850,6
7851,5
7852,2
7853,5
7854,2
7855,6
7856,2
7857,2
7858,4
7859,2
7860,2
7861,3
7862,2
7863,1
7864,3
7865,3
7866,2
7867,6
7868,4
7869,5
7870,4
7871,3
7872,2
7873,5
7874,2
7875,2
7876,3
7877,5
7878,4
7879,5
7880,2
7881,4
7882,4
7883,5
7884,2
7885,3
7886,2
7887,4
7888,5
7889,6
7890,6
7891,2
7892,2
7893,2
7894,2
7895,5
7896,2
7897,5
7898,5
7899,4
7900,2
7901,4
7902,2
7903,4
7904,3
7905,2
7906,5
7907,2
7908,5
7909,2
7910,4
7911,2
7912,2
7913,2
7914,2
7915,2
7916,2
7917,2
7918,2
7919,3
7920,2
7921,4
7922,1
7923,6
7924,4
7925,4
7926,2
7927,2
7928,5
7929,3
7930,5
7931,3
7932,6
7933,5
7934,2
7935,6
7936,3
7937,4
7938,2
7939,2
7940,5
7941,4
7942,4
7943,1
7944,2
7945,5
7946,6
7947,5
7948,2
7949,4
7950,5
7951,2
7952,2
7953,4
7954,4
7955,6
7956,4
7957,2
7958,3
7959,2
7960,5
7961,4
7962,1
7963,2
7964,4
7965,5
7966,4
7967,2
7968,2
7969,2
7970,4
7971,3
7972,2
7973,2
7974,6
7975,4
7976,2
7977,4
7978,2
7979,4
7980,2
7981,4
7982,6
7983,4
7984,2
7985,5
7986,2
7987,6
7988,5
7989,4
7990,2
7991,2
7992,2
7993,4
7994,2
7995,2
7996,4
7997,3
7998,2
7999,2
8000,6
8001,1
8002,2
8003,4
8004,4
8005,4
8006,2
8007,2
8008,4
8009,2
8010,2
8011,5
8012,4
8013,2
8014,6
8015,2
8016,4
8017,4
8018,2
8019,2
8020,3
8021,5
8022,4
8023,4
8024,2
8025,4
8026,2
8027,5
8028,4
8029,5
8030,2
8031,2
8032,2
8033,2
8034,4
8035,5
8036,4
8037,6
8038,6
8039,4
8040,2
8041,2
8042,4
8043,3
8044,2
8045,3
8046,6
8047,2
8048,4
8049,5
8050,4
8051,2
8052,2
8053,2
8054,2
8055,4
8056,4
8057,2
8058,2
8059,2
8060,4
8061,5
8062,2
8063,2
8064,4
8065,3
8066,2
8067,4
8068,4
8069,2
8070,2
8071,2
8072,3
8073,2
8074,2
8075,6
8076,2
8077,2
8078,4
8079,4
8080,5
8081,5
8082,4
8083,5
8084,4
8085,4
8086,4
8087,3
8088,4
8089,5
8090,2
8091,2
8092,5
8093,2
8094,2
8095,2
8096,4
8097,4
8098,2
8099,3
8100,4
8101,2
8102,6
8103,4
8104,2
8105,2
8106,2
8107,6
8108,4
8109,4
8110,4
8111,5
8112,5
8113,4
8114,5
8115,6
8116,2
8117,2
8118,4
8119,3
8120,6
8121,4
8122,3
8123,4
8124,4
8125,5
8126,4
8127,2
8128,3
8129,1
8130,2
8131,5
8132,4
8133,4
8134,4
8135,2
8136,6
8137,2
8138,4
8139,5
8140,4
8141,5
8142,2
8143,2
8144,2
8145,4
8146,5
8147,5
8148,4
8149,2
8150,2
8151,2
8152,2
8153,2
8154,2
8155,5
8156,6
8157,4
8158,4
8159,2
8160,4
8161,2
8162,5
8163,5
8164,2
8165,6
8166,5
8167,5
8168,6
8169,2
8170,2
8171,2
8172,6
8173,5
8174,2
8175,2
8176,2
8177,3
8178,5
8179,4
8180,4
8181,4
8182,5
8183,2
8184,3
8185,3
8186,4
8187,6
8188,4
8189,4
8190,4
8191,2
8192,2
8193,2
8194,4
8195,5
8196,2
8197,2
8198,5
8199,2
8200,2
8201,2
8202,2
8203,2
8204,5
8205,2
8206,5
8207,4
8208,4
8209,4
8210,2
8211,4
8212,2
8213,2
8214,2
8215,2
8216,2
8217,2
8218,2
8219,5
8220,4
8221,4
8222,2
8223,5
8224,5
8225,2
8226,4
8227,4
8228,4
8229,2
8230,2
8231,2
8232,5
8233,2
8234,2
8235,5
8236,4
8237,5
8238,4
8239,2
8240,4
8241,2
8242,5
8243,6
8244,4
8245,4
8246,2
8247,4
8248,2
8249,2
8250,2
8251,2
8252,2
8253,2
8254,5
8255,4
8256,2
8257,4
8258,2
8259,2
8260,5
8261,4
8262,2
8263,6
8264,2
8265,2
8266,4
8267,2
8268,6
8269,2
8270,2
8271,4
8272,2
8273,2
8274,2
8275,5
8276,4
8277,5
8278,6
8279,2
8280,2
8281,5
8282,5
8283,2
8284,4
8285,2
8286,5
8287,4
8288,5
8289,2
8290,5
8291,6
8292,5
8293,5
8294,5
8295,2
8296,2
8297,4
8298,2
8299,2
8300,2
8301,2
8302,4
8303,2
8304,2
8305,2
8306,3
8307,5
8308,4
8309,5
8310,2
8311,4
8312,2
8313,4
8314,4
8315,4
8316,2
8317,2
8318,3
8319,2
8320,4
8321,2
8322,4
8323,5
8324,6
8325,4
8326,4
8327,5
8328,4
8329,4
8330,5
8331,2
8332,3
8333,2
8334,4
8335,3
8336,3
8337,4
8338,4
8339,5
8340,5
8341,2
8342,2
8343,5
8344,5
8345,4
8346,1
8347,5
8348,2
8349,4
8350,3
8351,6
8352,4
8353,2
8354,5
8355,2
8356,2
8357,4
8358,2
8359,2
8360,3
8361,3
8362,4
8363,4
8364,2
8365,4
8366,2
8367,2
8368,4
8369,2
8370,4
8371,6
8372,5
8373,4
8374,2
8375,2
8376,2
8377,4
8378,4
8379,2
8380,2
8381,5
8382,3
8383,2
8384,2
8385,4
8386,2
8387,2
8388,5
8389,2
8390,4
8391,4
8392,4
8393,4
8394,4
8395,6
8396,4
8397,4
8398,2
8399,2
8400,4
8401,2
8402,2
8403,5
8404,4
8405,5
8406,2
8407,2
8408,1
8409,2
8410,2
8411,2
8412,2
8413,2
8414,4
8415,4
8416,4
8417,5
8418,2
8419,4
8420,4
8421,3
8422,4
8423,2
8424,2
8425,2
8426,4
8427,2
8428,5
8429,2
8430,2
8431,4
8432,4
8433,2
8434,4
8435,5
8436,2
8437,3
8438,2
8439,2
8440,4
8441,4
8442,4
8443,2
8444,6
8445,4
8446,5
8447,4
8448,4
8449,6
8450,5
8451,2
8452,5
8453,2
8454,4
8455,2
8456,5
8457,4
8458,2
8459,1
8460,4
8461,2
8462,2
8463,2
8464,4
8465,2
8466,4
8467,2
8468,4
8469,4
8470,2
8471,5
8472,2
8473,2
8474,2
8475,2
8476,2
8477,2
8478,2
8479,2
8480,2
8481,2
8482,4
8483,4
8484,2
8485,5
8486,4
8487,6
8488,2
8489,4
8490,4
8491,2
8492,4
8493,2
8494,4
8495,2
8496,6
8497,5
8498,2
8499,2
8500,2
8501,6
8502,6
8503,6
8504,2
8505,4
8506,2
8507,4
8508,6
8509,2
8510,2
8511,3
8512,5
8513,4
8514,3
8515,2
8516,6
8517,2
8518,6
8519,2
8520,5
8521,2
8522,5
8523,4
8524,2
8525,2
8526,2
8527,2
8528,4
8529,4
8530,2
8531,2
8532,6
8533,2
8534,4
8535,2
8536,2
8537,6
8538,6
8539,4
8540,2
8541,2
8542,4
8543,5
8544,2
8545,2
8546,2
8547,4
8548,2
8549,4
8550,4
8551,4
8552,4
8553,2
8554,4
8555,4
8556,2
8557,5
8558,2
8559,4
8560,5
8561,5
8562,2
8563,4
8564,2
8565,2
8566,5
8567,5
8568,5
8569,2
8570,2
8571,4
8572,4
8573,2
8574,4
8575,2
8576,2
8577,4
8578,2
8579,2
8580,4
8581,2
8582,4
8583,2
8584,2
8585,6
8586,2
8587,6
8588,5
8589,2
8590,5
8591,2
8592,4
8593,4
8594,2
8595,1
8596,2
8597,2
8598,2
8599,2
8600,6
8601,5
8602,5
8603,6
8604,6
8605,2
8606,2
8607,4
8608,3
8609,4
8610,4
8611,5
8612,4
8613,2
8614,4
8615,5
8616,4
8617,2
8618,2
8619,2
8620,4
8621,5
8622,4
8623,2
8624,2
8625,4
8626,2
8627,5
8628,2
8629,2
8630,3
8631,4
8632,3
8633,5
8634,3
8635,4
8636,5
8637,2
8638,2
8639,2
8640,5
8641,4
8642,6
8643,2
8644,4
8645,5
8646,5
8647,4
8648,5
8649,4
8650,2
8651,2
8652,2
8653,4
8654,3
8655,2
8656,3
8657,4
8658,2
8659,2
8660,2
8661,2
8662,3
8663,2
8664,2
8665,2
8666,4
8667,3
8668,3
8669,2
8670,2
8671,5
8672,2
8673,2
8674,3
